product_name,price_without_discount,discount_percent,price_after_discount,total_savings
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)  (8 GB RAM)",19999,0,19999,0
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)  (8 GB RAM)",21999,0,21999,0
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)  (8 GB RAM)",19999,0,19999,0
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)  (6 GB RAM)",19999,12,17565,2434
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)  (8 GB RAM)",21999,0,21999,0
"OnePlus 11R 5G (Sonic Black, 128 GB)  (8 GB RAM)",39999,1,39439,560
"OnePlus 11R 5G (Sonic Black, 256 GB)  (16 GB RAM)",44999,3,43645,1354
"OnePlus 11R 5G (Galactic Silver, 128 GB)  (8 GB RAM)",39999,0,39750,249
"OnePlus 11R 5G (Sonic Black, 128 GB)  (8 GB RAM)",39999,1,39463,536
"OnePlus 10R (Sierra Black, 128 GB)  (8 GB RAM)",38999,27,28300,10699
"OnePlus Nord 3 5G (Misty Green, 256 GB)  (16 GB RAM)",37999,1,37490,509
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)  (6 GB RAM)",19999,12,17450,2549
"OnePlus 11R 5G (Sonic Black, 128 GB)  (8 GB RAM)",39999,1,39450,549
"OnePlus Nord 3 5G (Tempest Gray, 128 GB)  (8 GB RAM)",33999,8,31260,2739
"OnePlus Nord 3 5G (Misty Green, 128 GB)  (8 GB RAM)",33999,4,32590,1409
"OnePlus 11R 5G (Galactic Silver, 256 GB)  (16 GB RAM)",44999,3,43636,1363
"OnePlus Nord CE3 5G (Aqua Surge, 128 GB)  (8 GB RAM)",26999,0,26927,72
"OnePlus Nord CE3 5G (Aqua Surge, 256 GB)  (12 GB RAM)",28999,0,28929,70
"OnePlus Nord 3 5G (Tempest Gray, 256 GB)  (16 GB RAM)",37999,4,36400,1599
"OnePlus 11R 5G (Sonic Black, 256 GB)  (16 GB RAM)",44999,0,44985,14
"OnePlus 11R 5G (Sonic Black, 128 GB)  (8 GB RAM)",39999,0,39772,227
"OnePlus 11 5G (Eternal Green, 256 GB)  (16 GB RAM)",61999,3,59995,2004
"OnePlus 11 5G (Titan Black, 128 GB)  (8 GB RAM)",56999,7,52680,4319
"OnePlus 10R (Sierra Black, 128 GB)  (8 GB RAM)",38999,23,29990,9009
"OnePlus 10R (Sierra Black, 128 GB)  (8 GB RAM)",38999,26,28575,10424
"OnePlus Nord CE3 5G (Grey Shimmer, 256 GB)  (12 GB RAM)",28999,0,28990,9
"OnePlus Nord CE3 5G (Grey Shimmer, 128 GB)  (8 GB RAM)",26999,0,26989,10
"OnePlus 10R (Forest Green, 128 GB)  (8 GB RAM)",38999,27,28469,10530
"OnePlus 10R (Forest Green, 128 GB)  (8 GB RAM)",38999,25,28999,10000
"OnePlus 11 5G (Eternal Green, 128 GB)  (8 GB RAM)",56999,3,54999,2000
"OnePlus 10R 5G (Forest Green, 256 GB)  (12 GB RAM)",42999,16,35990,7009
"OnePlus 10R (Forest Green, 128 GB)  (8 GB RAM)",38999,23,29999,9000
"OnePlus 10R 5G (Forest Green, 256 GB)  (12 GB RAM)",42999,13,37397,5602
"OnePlus N20 SE (BLUE OASIS, 64 GB)  (4 GB RAM)",17999,11,15990,2009
"OnePlus 11 5G (Eternal Green, 256 GB)  (16 GB RAM)",61999,3,59999,2000
"OnePlus 10R 5G (Sierra Black, 256 GB)  (12 GB RAM)",42999,16,35990,7009
"OnePlus 10R 5G (Sierra Black, 256 GB)  (12 GB RAM)",42999,16,35980,7019
"OnePlus 10R 5G (Prime Blue, 128 GB)  (8 GB RAM)",38999,23,29990,9009
"OnePlus 11 5G (Eternal Green, 128 GB)  (8 GB RAM)",56999,8,52140,4859
"OnePlus 11 5G (Titan Black, 256 GB)  (16 GB RAM)",61999,6,57995,4004
"OnePlus N20 SE (CELESTIAL BLACK, 64 GB)  (4 GB RAM)",16999,5,15990,1009
"OnePlus 9R 5G (Lake Blue, 256 GB)  (12 GB RAM)",43999,0,43999,0
"OnePlus 11 5G (Titan Black, 256 GB)  (16 GB RAM)",61999,0,61398,601
"OnePlus 10R 5G (Prime Blue, 128 GB)  (8 GB RAM)",38999,25,29100,9899
"OnePlus 10T 5G (Moonstone Black, 256 GB)  (12 GB RAM)",54999,14,46922,8077
